0.0000e+00	1.4320e-07
2.4414e+00	7.1437e-08
4.8828e+00	8.6935e-11
7.3242e+00	7.3022e-11
9.7656e+00	9.1608e-11
1.2207e+01	8.6881e-11
1.4648e+01	8.2652e-11
1.7090e+01	9.6021e-11
1.9531e+01	8.3444e-11
2.1973e+01	9.6843e-11
2.4414e+01	1.2576e-10
2.6855e+01	1.0497e-10
2.9297e+01	1.3481e-10
3.1738e+01	1.0767e-10
3.4180e+01	9.0907e-11
3.6621e+01	1.0289e-10
3.9062e+01	1.0234e-10
4.1504e+01	1.2714e-10
4.3945e+01	1.3571e-10
4.6387e+01	1.3120e-10
4.8828e+01	1.3822e-10
5.1270e+01	1.0301e-10
5.3711e+01	5.9359e-11
5.6152e+01	8.6280e-11
5.8594e+01	9.0139e-11
6.1035e+01	9.7524e-11
6.3477e+01	1.2207e-10
6.5918e+01	9.5319e-11
6.8359e+01	9.8383e-11
7.0801e+01	8.6177e-11
7.3242e+01	8.5374e-11
7.5684e+01	9.4704e-11
7.8125e+01	1.0309e-10
8.0566e+01	8.4336e-11
8.3008e+01	9.8031e-11
8.5449e+01	9.3840e-11
8.7891e+01	1.1680e-10
9.0332e+01	1.0490e-10
9.2773e+01	1.0657e-10
9.5215e+01	1.1369e-10
9.7656e+01	1.0795e-10
1.0010e+02	1.0253e-10
1.0254e+02	8.8656e-11
1.0498e+02	8.1929e-11
1.0742e+02	1.1177e-10
1.0986e+02	9.9124e-11
1.1230e+02	1.0714e-10
1.1475e+02	1.2553e-10
1.1719e+02	1.6229e-10
1.1963e+02	1.5571e-10
1.2207e+02	2.4771e-10
1.2451e+02	3.5926e-10
1.2695e+02	9.4864e-10
1.2939e+02	2.3533e-09
1.3184e+02	1.1654e-08
1.3428e+02	9.5167e-08
1.3672e+02	2.6502e-05
1.3916e+02	2.5558e-04
1.4160e+02	4.1547e-04
1.4404e+02	2.9355e-04
1.4648e+02	3.2623e-04
1.4893e+02	3.4961e-04
1.5137e+02	4.2950e-04
1.5381e+02	4.5249e-04
1.5625e+02	3.5309e-04
1.5869e+02	3.5026e-04
1.6113e+02	3.8004e-04
1.6357e+02	3.7275e-04
1.6602e+02	3.3506e-04
1.6846e+02	2.8841e-04
1.7090e+02	3.6060e-04
1.7334e+02	3.6368e-04
1.7578e+02	3.8473e-04
1.7822e+02	3.5527e-04
1.8066e+02	2.8543e-04
1.8311e+02	3.0523e-04
