32762	98	5.0	0	0	0	229	
23580	90	10.0	0	0	0	210
22543	82	11.0	0	0	0	226
21683	74	12.0	0	0	0	233
20226	65.5	14.1	0	0	0	227
26333	40.5	5.0	18444	105	3.0	242
27019	30	5.0	20264	104	2.5	231
29204	32	5.0	17522	108	2.0	237
30202	30	5.0	15101	106	1.9	245
31527	29	5.0	10404	114	2.0	237
29680	25	6.0	7420	108	2.0	235
30402	20	6.0	6081	109	2.0	225
31091	19.8	6.0	0	0	0	236
32741	14.3	5.6	0	0	0	222
31800	2	17	3572	123	138	0
31500	2	17	3984	103	134	0
31000	2	17	5020	93	132	0
30000	2	17	5324	69	138	0
29000	2	17	7045	76	134	0	
28000	2	17	11130	94	124	0
27000	2	17	12758	95	123	0
25000	2	17	10873	78	131	0
23000	2	17	12111	78	131	0
20000	2	17	13008	74	132	0
18000	2	17	16330	86	127	0
12000	2	17	13984	64	135	0
8000	2	17	16562	76	131	0
4000	2	17	30801	101	117	0	
16000	2	15	32660	104	115	0
15850	2	14	21268	94	122	0
13700	2	17	18290	87	126	0
11100	2	22	16289	79	130	0
7840	2	40	15397	74	132	0
5440	2	62	14036	63	136	0
0	0	0	13492	49	138	0
23400	2	11	30150	104	115	0
17020	2	20	23930	100	118	0
14000	2	30	23130	100	119	0
12000	2	41	19140	95	123	0
11000	2	44	14664	80	131	0
9700	2	53	13296	71	135	0
7900	2	48	12158	49	139	0
24700	2	13	27482	104	115	0
18000	2	24	22276	101	118	0
17150	2	25	15081	87	127	0
15900	2	25	12140	66	135	0
12500	2	49	12826	80	133	0
11900	2	42	11156	55	139	0
0	0	0	10818	2	141	0
22480	2	19	23677	104	116	0
22300	2	19	17243	97	121	0
21700	2	19	12452	80	130	0
20900	2	19	10955	65	135	0
19700	2	19	10107	48	139	0
18700	2	19	9897	38	140	0
14800	2	31	9714	38	141	0
22000	2	23	21863	105	116	0
21000	2	25	14392	96	123	0
19820	2	28	13036	93	126	0
17980	2	34	11147	86	131	0
18000	2	32	9319	66	138	0
17090	2	32	8605	44	142	0
16000	2	35	8433	36	143	0
27200	2	17	13764	98	121	0
26900	2	17	10222	84	129	0
26400	2	17	8525	65	136	0
25980	2	17	8154	55	138	0
25580	2	17	7849	45	140	0
25000	2	17	7724	35	141	0
22200	2	20	7586	21	142	0
